Mail Text,Label
Subject: Immediate Transport Needed: Machinery\nBody: Need to ship 1500 kg of machinery from Dallas to Denver. Cost: $2500. Payment within 15 days. Confirm your availability ASAP.,not spam
"Subject: Cargo Transport Request for Vehicles\nBody: Requesting transport of 3 vehicles, approximately 1200 kg, from San Francisco to New York. Pricing: $3500. Payment terms are net 30 days. Please confirm.",not spam
Subject: Request for Cargo Transport\nBody: We need to ship 800 kg of textiles from Houston to Miami. Cost is $1000. Payment upon completion of the delivery. Let us know your schedule.,not spam
Subject: Transport Request: Perishables\nBody: Requesting transport of 600 kg of perishable goods from Atlanta to Orlando. Pricing at $800. Payment terms are standard. Please respond with your schedule.,not spam
"Subject: Freight Request: Industrial Supplies\nBody: We need to transport 1200 kg of industrial supplies from Philadelphia to Boston. Cost: $1800, payment upon delivery. Confirm your availability.",not spam
Subject: Shipping Inquiry: Bicycles\nBody: Need to transport 500 kg of bicycles from Portland to San Diego. Pricing: $900. Standard terms apply. Please confirm if you can assist.,not spam
Subject: Transport Request for Office Equipment\nBody: We need to transport 800 kg of office equipment from Atlanta to Chicago. Total cost is $1100. Payment within 30 days. Let me know your capacity.,not spam
Subject: Immediate Offer: Transport Deal!\nBody: Limited time! Transport 1000 kg from Los Angeles to New York for just $500! Pay now to secure this deal!,spam
Subject: URGENT: Transport Needed ASAP!\nBody: Transport 200 kg of valuables from Seattle to Miami for ONLY $300! Act fast – this offer expires soon!,spam
Subject: Incredible Offer: Ship for $100!\nBody: Need to ship 150 kg from Miami to Boston? Just $100! Pay via wire transfer today! Unmissable!,spam
"Subject: Last Chance: Cheap Transport Available!\nBody: We can ship 500 kg from Chicago to San Francisco for a mere $400! Limited slots left, sign up now!",spam
Subject: Urgent: Your Cargo Needs Transport!\nBody: Don't miss out! We can transport 1200 kg for only $1500! Pay upfront for the best rates!,spam
"Subject: Amazing Offer on Freight Services!\nBody: Ship your goods for only $200! 100 kg from Dallas to New York, but hurry! Payment details are different!",spam
Subject: Unbelievable Transport Rates!\nBody: Need to move 800 kg from Portland to Los Angeles? Only $250! Secure your spot now with quick payment!,spam
Subject: Urgent Cargo Transport - Act Now!\nBody: We can get your 300 kg shipment to Denver for just $150! Payment via PayPal! Don’t miss this chance!,spam
Subject: Limited Time Offer: Transport Your Goods!\nBody: Move 1000 kg from Houston to San Diego for just $700! Payment within the week only!,spam
Subject: LAST CALL: Cheap Shipping Available!\nBody: Only $600 to transport 700 kg from Miami to New York! Pay within 48 hours to avail!,spam
"Subject: Exclusive Offer: Transport Request\nBody: We can transport 500 kg from Atlanta to Seattle for only $350! Act fast, only a few slots!",spam
Subject: URGENT: Quick Transport Needed!\nBody: Need to ship 200 kg from Orlando to Los Angeles for just $150! Pay immediately to secure the deal!,spam
Subject: Special Deal: Transport Services\nBody: Looking to move 1000 kg from New York to Chicago for $450? Secure this incredible price today!,spam
Subject: Act Fast: Unbelievable Shipping Rates!\nBody: We offer transport for 300 kg from San Francisco to Denver at only $200! Payment details upon request!,spam
Subject: Need Fast Transport? Act Now!\nBody: Transport 1500 kg for just $500 from Chicago to Miami! Limited time only! Pay via bank wire!,spam
"Subject: Transport Request: Urgent Shipment\nBody: Need to transport 500 kg urgently! $1000 from New York to Boston. Payment terms unclear, reply soon!",spam
Subject: Cargo Transport Inquiry\nBody: We need to move 700 kg from Philadelphia to Orlando for $100! Pay in advance to lock this deal!,spam
"Subject: Quick Transport Needed for Lost Cargo!\nBody: We can move 100 kg for just $50 from Los Angeles to Seattle! Act fast, payment in advance!",spam
Subject: Incredible Transport Offer – Limited time!\nBody: Move your goods from Dallas to Denver for only $250! Pay upfront to guarantee this offer!,spam
"Subject: Urgent: Cheap Transport Available\nBody: We can transport your 800 kg shipment for just $300! Act fast, payment terms flexible!",spam
Subject: Limited Slots for Shipping!\nBody: Transport 600 kg from Miami to Los Angeles for $200! Pay immediately to reserve your slot!,spam
Subject: Exclusive Transport Services at Discounted Rate!\nBody: Need to ship 1000 kg for only $1000 from New York to Atlanta? Sign up today to secure this offer!,spam
Subject: Urgent Transport Needed for Special Cargo\nBody: We can relocate 500 kg from Boston to Miami for only $400! Quick payment required!,spam
"Subject: Quick Cargo Transport – Your Chance!\nBody: Move 1200 kg for a special price of $500 from Chicago to Seattle! Act quickly, payment details unclear!",spam
Subject: Unbeatable Offer on Freight!\nBody: Need to ship 300 kg from San Francisco to New York? Only $150! Pay now to secure this deal!,spam
"Subject: Last Minute Transport Request!\nBody: Transport 900 kg from Houston to Chicago for just $350! Limited time offer, payment upfront!",spam
"Subject: Amazing Transport Deal – Act Fast!\nBody: 200 kg from Los Angeles to Miami for only $250! Hurry, payment terms are flexible!",spam
Subject: URGENT: Limited Time Transport Offer!\nBody: Move your 600 kg from Atlanta to Boston for just $100! Pay now to ensure this deal!,spam
"Subject: Transport Request for Electronics\nBody: We need to move 500 kg of electronics from California to Texas. Pricing is $1500, standard payment terms apply. Please confirm availability.",not spam
"Subject: Cargo Transport Needed!\nBody: We're looking to transport 750 kg of textiles from New Jersey to Florida. Cost: $1200, payment upon delivery. Let us know your capacity.",not spam
Subject: Transport Inquiry: Furniture\nBody: We need to ship 2000 kg of furniture from Denver to Dallas. Total cost is $2500. Standard payment terms apply. Please reply soon.,not spam
"Subject: Transport Request: Heavy Machinery\nBody: Requesting transport of 1500 kg of machinery from Seattle to Chicago. Cost: $2200, payment due upon delivery. Confirm availability.",not spam
Subject: Urgent Shipping Request for Vehicles\nBody: We need to transport 3 vehicles (approx. 1200 kg) from San Francisco to New York. Total cost: $3500. Payment terms net 30.,not spam
Subject: Quick Shipping Request\nBody: Requesting transport of 300 kg of books from Atlanta to Boston. Pricing at $800. Standard payment terms apply. Please confirm your schedule.,not spam
"Subject: Freight Request: Perishable Goods\nBody: We need to transport 600 kg of perishable items from Miami to Orlando. Pricing is $900, payment upon delivery. Please reply quickly.",not spam
Subject: Transportation Request: Industrial Materials\nBody: We need to move 1200 kg of industrial materials from Chicago to Seattle. Total cost is $1800. Payment terms are standard.,not spam
Subject: Transport Inquiry for New Shipment\nBody: Need to transport 800 kg of office supplies from Houston to Dallas. Cost is $1000. Payment upon delivery. Let us know your availability.,not spam
Subject: Transport Request for Electronics\nBody: We need to ship 1000 kg of electronics from New York to Chicago. Pricing is $1700. Standard payment terms apply. Please let us know your schedule.,not spam
Subject: Limited Offer: Urgent Shipping Needed!\nBody: Move your 400 kg cargo from Miami to San Francisco for only $250! Pay today to secure this limited offer!,spam
"Subject: Last Chance: Move Your Goods Cheap!\nBody: Only $500 to ship 1000 kg from Los Angeles to New York! Hurry, payment required immediately!",spam
"Subject: Incredible Deal: Transport Urgently!\nBody: Ship your 200 kg from Chicago to Miami for only $100! Act now, pay via bank transfer!",spam
"Subject: Urgent Shipment Request!\nBody: We can transport 800 kg from Dallas to Seattle for just $300! Limited time only, secure your spot with upfront payment!",spam
Subject: Unbelievable Offer: Transport for Cheap!\nBody: Need to move 500 kg from Boston to Atlanta for just $200! Hurry! Payment terms are vague!,spam
Subject: Act Fast: Special Transport Rates Available!\nBody: We can ship 600 kg from New York to Los Angeles for $400! Pay now to reserve this low price!,spam
Subject: Urgent Freight Offer!\nBody: Move your 300 kg shipment from Denver to San Francisco for only $150! Payment needed beforehand!,spam
"Subject: Amazing Shipping Deal – Limited Time!\nBody: Transport 1000 kg from Houston to Miami for just $600! Hurry, payment terms not specified!",spam
Subject: Exclusive Offer: Transport Your Cargo!\nBody: Need to ship 150 kg from Orlando to New York for $80? Pay today to lock this deal!,spam
"Subject: Quick Transport Needed - Special Pricing!\nBody: Ship 400 kg from Seattle to Dallas for only $250! Act fast, payment details unclear!",spam
Subject: URGENT: Last Minute Offer!\nBody: Move 800 kg from San Francisco to Chicago for just $300! Immediate payment required!,spam
"Subject: Last Call: Unbeatable Transport Rates!\nBody: Only $100 to ship 100 kg from Miami to Orlando! Hurry, payment terms are vague!",spam
Subject: Amazing Limited Time Transport Offer!\nBody: Get 1000 kg transported from New York to Los Angeles for only $500! Pay to secure this deal!,spam
Subject: Urgent Transport Needed for Your Goods!\nBody: We can move 500 kg from Denver to Seattle for only $250! Quick payment required!,spam
Subject: Incredible Offer: Transport Request\nBody: Ship 300 kg of goods from Chicago to Miami for only $100! Pay upfront to secure your spot!,spam
"Subject: Last Chance to Move Your Cargo!\nBody: Need to ship 1200 kg from Dallas to New York for just $800! Act now, payment terms unclear!",spam
"Subject: Urgent Transport Inquiry for Quick Shipping\nBody: Requesting transport of 700 kg from Atlanta to San Francisco. Cost is $1000, pay now to secure this offer!",spam
Transport Request: Urgent shipment of 500kg electronics from Berlin to London. Total cost: €1200. Payment via bank transfer upon delivery. Please confirm ASAP.,not spam
"Request for Transport: Need to ship 300kg of furniture from Paris to Rome. Price: €800, payment upon pickup. Details to follow.",not spam
Transport Query: 1000kg of medical supplies from Madrid to Lisbon. Estimated cost is €1500. Payment due upon delivery. Looking forward to your confirmation.,not spam
Request for Transport Services: Shipping 600kg of textiles from Amsterdam to Antwerp. Total cost: €900. Payment upon delivery.,not spam
"Shipping Request: 200kg of perishables from Dublin to Edinburgh. Total price: €250, payable at delivery. Please reply with your availability.",not spam
Transport Inquiry: Moving 400kg of machinery from Frankfurt to Stuttgart. Cost estimate: €1300. Payment terms are 30 days after delivery.,not spam
"Transport Request: 350kg of auto parts from Milan to Florence. Price: €700, payment on delivery. Need confirmation soon.",not spam
Request for Freight: 800kg of consumer goods from Brussels to Luxembourg. Estimated cost is €1100. Payment required at the time of pickup.,not spam
"Transport Request: Shipping 750kg of books from Zurich to Geneva. Total cost: €600, payment upon delivery.",not spam
Transport Services Needed: 900kg of construction materials from Copenhagen to Oslo. Price: €1400. Payment at delivery is acceptable.,not spam
"Urgent: Last chance to ship your goods for only €99! Half price, but only today! Reply immediately for details!",spam
"Limited Offer: Ship any weight for just €150! Act now, this deal ends soon! We need your payment info to secure your shipment.",spam
"Final Notice: Your cargo is waiting for pickup! Pay only €500 now, or miss out! Email back to confirm immediate transport.",spam
Special Deal: Get your cargo transported to any city for €200! But you must respond in the next hour to qualify!,spam
"Urgent Shipping: 1000kg available for just €300! This won't last! Limited slots, act fast! Payment details required ASAP.",spam
"Exclusive Offer: Transport your goods for €79! No questions asked, just send payment information to secure your shipment!",spam
Immediate Action Required: Ship your items now for €400! Offer valid only until midnight! Pay via crypto for fast processing.,spam
Flash Sale: Only €250 to ship your cargo anywhere! But you must confirm before the end of the day!,spam
Act Fast: Secure your shipment for a reduced price of €600! Limited time offer! Send your payment info now!,spam
Last Chance: Get your cargo transported for just €450! Only a few spots left! Respond quickly with payment details!,spam
Urgent Transport: Your goods can go for €350 today only! Prioritize your request! Contact us with payment info immediately!,spam
"Transport Request: 500kg of machinery from Berlin to Hamburg. Cost is €1100, payable via bank transfer upon delivery.",not spam
"Shipping Inquiry: Need to transport 250kg of artwork from Vienna to Prague. Estimated cost: €850, payment upon dispatch.",not spam
"Transport Request: Request for shipping 150kg of electronics from Brussels to Amsterdam. Total cost: €600, payment due at delivery.",not spam
"Request for Freight: 700kg of food items from Lisbon to Madrid. Price: €1300, payment upon delivery. Looking forward to your response.",not spam
"Transport Inquiry: 400kg of household goods from Geneva to Zurich. Estimated cost: €950, payment at time of delivery.",not spam
"Shipping Request: Transport 600kg of machinery from Frankfurt to Munich. Cost: €1200, payment upon delivery.",not spam
"Transport Request: Moving 800kg of medical supplies from Amsterdam to Berlin. Total estimated cost: €1400, payment terms to be discussed later.",not spam
"Transport Inquiry: Require shipping of 200kg of textiles from Paris to Brussels. Price: €750, payment due at delivery.",not spam
"Request for Transport: 300kg of books from Munich to Stuttgart. Total cost: €450, payment upon pickup.",not spam
"Transport Request: 500kg of electronics from Lisbon to Porto. Total cost: €650, payment due upon delivery.",not spam
Act immediately! Only €99 to ship any cargo! Limited time offer! Payments processed within 24 hours!,spam
Don't miss this exclusive deal! Transport your goods for €199! Respond in the next 30 minutes for our special rate!,spam
Urgent: Limited time offer to ship your cargo for only €150! Act fast or miss out! Reply with payment details now!,spam
Flash Sale! Only €299 for shipping! This price is only valid for today! Quick payment info required!,spam
Special Offer: Ship your cargo today for €79! You must confirm within 1 hour! Send us your payment details!,spam
Last Minute Deal: Transport your items for €499! Only a few slots left! Contact us with your payment info immediately!,spam
Exclusive! Get your goods shipped for only €99! But only if you reply now! Don't let this opportunity slip away!,spam
Immediate shipment for €250! Act now! Limited spots available! Payment must be confirmed to secure your shipment!,spam
Urgent action required! Your cargo can be shipped for €300! But you need to respond quickly! Payment info needed ASAP!,spam
"Transport Request: 300kg of perishable goods from Rotterdam to Brussels. Total cost: €600, payment upon delivery.",not spam
"Shipping Request: 400kg of construction materials from Warsaw to Prague. Estimated cost: €800, payment due at delivery.",not spam
"Transport Inquiry: Need to ship 900kg of consumer goods from Prague to Vienna. Total cost: €1200, payment on delivery.",not spam
"Request for Transport: Moving 500kg of textiles from Budapest to Szeged. Price: €700, payment upon pickup.",not spam
"Transport Inquiry: 600kg of electronic devices from Lisbon to Madrid. Estimated cost: €950, payment terms at delivery.",not spam
"Transport Request: Shipping 800kg of machinery from Geneva to Lucerne. Total cost: €1300, payment on delivery.",not spam
"Shipping Request: 750kg of furniture from Stockholm to Gothenburg. Total cost: €850, payment required upon delivery.",not spam
"Transport Request: 150kg of materials from Berlin to Munich. Total cost: €400, payment due at delivery.",not spam
"Transport Inquiry: Need to ship 200kg of medical supplies from London to Birmingham. Estimated cost: €500, payment on delivery.",not spam
"Request for Freight: Transporting 300kg of household goods from Paris to Marseille. Price: €600, payment at delivery.",not spam
Act fast! Your goods can be transported for just €149! Limited time offer! Send payment info to secure your spot!,spam
"Final Call! Shipping for €199! Don't wait, respond right away! We need payment details ASAP!",spam
Limited time! Only €300 to ship your cargo! Act quickly or lose the deal! Reply with payment details!,spam
Urgent: Last chance to transport your goods for €250! Offer expires soon! Confirm payment to secure your shipment!,spam
Exclusive Offer: Get your shipment for just €99! You must respond within 30 minutes! Payment details required!,spam
Urgent Shipping! Transport your cargo for €499 today only! This offer is limited! Contact us with payment info right away!,spam
Flash Offer: Ship now for €400! Only for a short time! Quick payment info needed to secure your booking!,spam
Don't miss out! Shipping for just €299! Limited availability! Response with payment info required to confirm!,spam
Last Chance: Your shipment can go for just €350! Only a few slots left! Confirm payment to lock in the offer!,spam
"Transport Request: 750kg of industrial goods from Hamburg to Berlin. Total cost: €850, payment upon delivery.",not spam
"Shipping Inquiry: Moving 300kg of electronics from Frankfurt to Cologne. Price: €500, payment due at delivery.",not spam
"Transport Inquiry: 450kg of vehicle parts from Munich to Stuttgart. Estimated cost: €650, payment on delivery.",not spam
"Request for Transport: 600kg of furniture from Vienna to Graz. Total cost: €700, payment upon delivery.",not spam
"Transport Request: 200kg of pharmaceuticals from Amsterdam to Rotterdam. Total cost: €800, payment due upon delivery.",not spam
"Shipping Request: Moving 350kg of agricultural products from Warsaw to Krakow. Price: €400, payment upon delivery.",not spam
"Request for Freight: Transporting 500kg of textiles from Berlin to Dresden. Total cost: €500, payment at delivery.",not spam
"Transport Inquiry: Need to ship 900kg of electronics from Oslo to Copenhagen. Estimated cost: €1200, payment terms to follow.",not spam
Urgent: Act now to ship for just €199! This offer expires soon! Reply with payment details to secure your spot!,spam
Final Offer: Get your goods shipped for only €99! Only valid for today! Send payment information to confirm!,spam
Special Deal: Ship your cargo for €250! Limited time only! Quick response with payment info required!,spam
Immediate Action: Transport your items for just €350! Limited slots available! Contact us with payment info ASAP!,spam
Exclusive! Your cargo can be shipped for €149! But only if you respond right away! Don't miss this chance!,spam
Subject: Urgent: Transport of Electronics from NYC to LA\nBody: We need to move 200kg of electronics urgently. Origin: New York City. Destination: Los Angeles. Pricing: $800. Payment upfront. \n,not spam
Subject: Request for Transport of Furniture\nBody: We are looking to transport 500kg of furniture from Chicago to Miami. Estimated cost is $1200 with standard payment terms. \n,not spam
Subject: Special Offer: Move Your Goods Fast!\nBody: Don't miss this chance! Transport your goods for just $199! Limited time offer! Contact us ASAP for details. \n,spam
"Subject: Transport Request for Fresh Produce\nBody: We would like to transport 1 ton of fresh produce from San Francisco to Seattle. Price is $1500, payment upon delivery. \n",not spam
Subject: Incredible Deal on Logistics!\nBody: Act now! Move 300kg of any cargo for just $299. You won't find a better price! \n,spam
Subject: Transport Services Inquiry for Machinery\nBody: We require transport for 800kg of machinery from Dallas to Boston. Estimated cost $1300 with 30 days payment terms. \n,not spam
Subject: Limited Time Offer on Freight!\nBody: Get your freight moved for only $99! Secure your spot now! Limited availability! \n,spam
Subject: Request for Transport of Medical Supplies\nBody: We need to ship 400kg of medical supplies from Miami to Houston. Cost: $1100 and payment on invoice. \n,not spam
Subject: Don't Wait! Move Your Cargo Now!\nBody: Special rates for urgent transport! Only $150 for any cargo! Call now to reserve your spot! \n,spam
Subject: Transport of Construction Materials\nBody: Requesting transport for 1.5 tons of construction materials from Denver to Chicago. Price: $2000 with standard payment terms. \n,not spam
Subject: Act Fast! Unbeatable Transport Offer!\nBody: Move your cargo for just $199! This is a once-in-a-lifetime offer! Contact us immediately! \n,spam
Subject: Transport of Vintage Cars from LA to NY\nBody: We need to transport 2 vintage cars weighing 800kg from Los Angeles to New York. Total cost: $3500 with upfront payment. \n,not spam
Subject: Last Chance! Amazing Freight Deal!\nBody: Don't miss out! Transport any 500kg cargo for just $149! Offer expires soon! \n,spam
Subject: Transport Request for Textiles\nBody: We need to ship 600kg of textiles from New York to Chicago. Estimated price is $900 with payment due upon delivery. \n,not spam
Subject: Quick Response Needed on Shipping!\nBody: Limited time offer! Move your goods for only $100! Act now before it's too late! \n,spam
"Subject: Request for Transport of Electronics\nBody: We need to transport 300kg of electronics from Seattle to San Francisco. Cost is $950, payment upon delivery. \n",not spam
"Subject: Time-Sensitive Shipping Offer!\nBody: Move any cargo for only $75 if you book today! Don’t wait, spots are filling fast! \n",spam
Subject: Transport of Office Supplies Needed\nBody: We’re looking to transport 250kg of office supplies from Boston to Atlanta. Price is $600 with 30-day payment terms. \n,not spam
"Subject: Urgent: Shipping Deal Just for You!\nBody: Special offer! Transport any goods for $129! Act quickly, this is limited to 10 customers only! \n",spam
"Subject: Request for Shipping Automobiles\nBody: We would like to move 4 automobiles from Miami to New York, around 1200kg total. Cost is $4000 with payment due on delivery. \n",not spam
"Subject: Last Minute Shipping Discounts!\nBody: Call now to get your goods shipped for only $99! Don't wait, this offer is vanishing! \n",spam
Subject: Transport of Landscaping Equipment\nBody: We need to ship 700kg of landscaping equipment from Portland to San Diego. Total cost: $1300 with invoice payment. \n,not spam
"Subject: Unbelievable Price on Freight!\nBody: Move any cargo for just $89! But hurry, this deal won’t last! \n",spam
"Subject: Shipping Request for Heavy Machinery\nBody: We need transport for 1500kg of heavy machinery from Orlando to Atlanta. Cost is $1800, payment before shipment. \n",not spam
Subject: Limited Time Shipping Deal!\nBody: Move your cargo for only $50 if you respond within the hour! Act now! \n,spam
Subject: Shipping Request: Perishable Goods\nBody: We require transport for 400kg of perishable goods from New Orleans to Dallas. Estimated total $1100 with payment upon delivery. \n,not spam
Subject: Instant Freight Offer - Don't Miss Out!\nBody: Special offer! Only $199 for any transport! Act before midnight! \n,spam
Subject: Transport of Industrial Equipment Needed\nBody: We want to transport 900kg of industrial equipment from Chicago to Houston. The cost is $1700 with standard terms. \n,not spam
Subject: Urgent! Limited Freight Prices!\nBody: Quick! Secure transport for only $199! Offer valid till supplies last! \n,spam
Subject: Cargo Transport Inquiry\nBody: We need to transport 300kg of cargo from Boston to San Francisco. Total cost is $850 with payment on delivery. \n,not spam
Subject: Amazing Shipping Offer Just for You!\nBody: Don't wait! Move your goods for just $49! This is a limited offer! \n,spam
Subject: Request for Transport of Wine\nBody: We’d like to transport 250kg of wine from Napa Valley to New York. Price: $1200 with 30-day payment terms. \n,not spam
Subject: Huge Discounts on Shipping Services!\nBody: Get your cargo moved for only $149! Limited time only! Contact us fast! \n,spam
Subject: Transport of Agricultural Products Needed\nBody: We are looking to ship 1 ton of agricultural products from Kansas to Nebraska. Estimated cost is $1300 with payment upfront. \n,not spam
Subject: Last Chance Freight Deal!\nBody: Act now! Move any cargo for just $89 if you respond today! \n,spam
Subject: Shipping Request for Art Pieces\nBody: We need to transport 300kg of art pieces from New York to Paris. Estimated cost is $3000 with payment upon delivery. \n,not spam
Subject: Unmatched Freight Offer!\nBody: Move your goods today for only $149! This offer is only for the next hour! \n,spam
Subject: Transport Request for Medical Equipment\nBody: We need to transport 500kg of medical equipment from Boston to Seattle. Cost is $2000 with payment upon delivery. \n,not spam
Subject: Urgent Transport Opportunity!\nBody: Move any cargo for $50 if you book now! This amazing deal expires soon! \n,spam
Subject: Transport of Food Products Inquiry\nBody: We require transport for 600kg of food products from Chicago to New York. Estimated price is $900 with standard payment terms. \n,not spam
"Subject: Incredible Shipping Discounts!\nBody: Move your cargo for just $99! But act fast, this offer won't last! \n",spam
Subject: Request for Transport of Raw Materials\nBody: We’re looking to transport 1 ton of raw materials from San Francisco to Denver. Cost is $1600 with invoice payment. \n,not spam
Subject: Limited Time Offer on Freight!\nBody: Don’t miss this! Ship any cargo for only $199! Call to secure your deal! \n,spam
Subject: Urgent Cargo Transport Needed\nBody: We need to move 200kg of urgent shipment from Miami to Atlanta. Total cost is $500 with payment upfront. \n,not spam
Subject: Last Minute Shipping Offer!\nBody: Move any goods for just $50! This offer is expiring soon! \n,spam
Subject: Transport Inquiry for Household Goods\nBody: We would like to transport 800kg of household goods from Chicago to LA. Estimated cost: $1300 with 30-day payment terms. \n,not spam
"Subject: Time-Sensitive Freight Offer!\nBody: Move your cargo for only $79! But hurry, this offer is only for the next 30 minutes! \n",spam
"Subject: Request for Heavy Equipment Shipping\nBody: We need to transport 1.2 tons of heavy equipment from Dallas to San Francisco. Price is $2200, payment on delivery. \n",not spam
"Subject: Unbelievable Shipping Prices - Act Now!\nBody: Move any cargo for just $199! This is a once-in-a-lifetime offer, don’t miss out! \n",spam
"Subject: Transport of High-Value Goods Inquiry\nBody: We need to ship 500kg of high-value goods from New York to Chicago. Cost is $2500, payment upfront. \n",not spam
Subject: Special Shipping Deal Just for You!\nBody: Secure your transport for only $99! This offer is only available today! \n,spam
Subject: Request for Shipping Hazardous Materials\nBody: We need to transport 300kg of hazardous materials from Houston to Phoenix. Cost is $1500 with payment upon delivery. \n,not spam
Subject: Act Quick! Limited Time Shipping Offer!\nBody: Move any goods for only $59! This deal is vanishing fast! \n,spam
Subject: Transport Inquiry for Bulk Goods\nBody: We would like to move 2 tons of bulk goods from Seattle to Portland. Estimated cost: $1800 with standard payment terms. \n,not spam
Subject: Incredible Freight Offer - Last Chance!\nBody: Move your cargo for only $99! Limited availability! Call now! \n,spam
Subject: Shipping Request for High-Value Artwork\nBody: We need to transport 100kg of high-value artwork from San Francisco to New York. Total cost: $3000 with payment upon delivery. \n,not spam
Subject: Urgent Shipping Discount - Act Fast!\nBody: Get your cargo moved for just $49 if you respond quickly! This offer is limited! \n,spam
"Subject: Transport Request for Electronics Shipment\nBody: We need to transport 500 kg of laptops from New York to San Francisco. The price is $1500, and we prefer standard payment terms within 30 days. Please confirm availability.",not spam
Subject: Urgent: Cargo Transport Needed\nBody: Requesting transport for 300 kg of furniture from Chicago to Seattle at $800. Payment due upon delivery. Please respond ASAP.,not spam
"Subject: Freight Transport Inquiry\nBody: We require shipping 1000 kg of clothing from Los Angeles to Miami. Cost is $1200, with payment terms of 15 days post-delivery. Let us know your schedule.",not spam
Subject: Request for Transport Services\nBody: Shipping a batch of automotive parts weighing 600 kg from Detroit to Houston. Pricing at $900 with a 30-day payment term. Awaiting your confirmation.,not spam
Subject: Transport Request: Food Products\nBody: Looking to move 200 kg of packaged snacks from Boston to Denver. Price offered is $700 with 14 days payment terms. Please advise on your availability.,not spam
Subject: Cargo Transport from A to B\nBody: We need to send 400 kg of medical supplies from Seattle to New York for $1100. Payment is net 30 days. Please confirm logistics.,not spam
Subject: Transport for Industrial Goods\nBody: Require transport of 800 kg machinery parts from Philadelphia to Orlando. Rate is $1500 with payment due in 15 days. Please confirm.,not spam
"Subject: Shipping Request: Building Materials\nBody: Requesting transport of 900 kg of tiles from Atlanta to Dallas. Pricing at $1300, with standard payment terms of 30 days. Awaiting your reply.",not spam
Subject: Transport Inquiry: Electronics\nBody: We need to move 250 kg of smartphones from San Francisco to New York at $950. Payment in 30 days preferred. Please confirm availability.,not spam
Subject: Transport Assistance Needed\nBody: Shipping 700 kg of textiles from Miami to Chicago for $1100. Payment is expected within 30 days. Looking forward to your response.,not spam
"Subject: Limited Time Offer: Transport Needed!\nBody: Only $500 to transport your goods from LA to NY! Act fast, slots are filling up! Payment upfront required. Don't miss out!",spam
Subject: URGENT: Cargo Transport at Unbeatable Price!\nBody: Get your cargo moved for just $300 from Miami to Seattle! Immediate payment required. Must book today!,spam
Subject: Incredible Deal on Shipping!\nBody: Transport 1000 kg for only $200! Don't wait—this offer won't last. Payment details will follow. Act now!,spam
Subject: Special Transport Offer Just for You!\nBody: Move your goods from Chicago to Orlando for $100! Limited slots available. Pay through wire transfer to a special account!,spam
"Subject: Last Chance: Transport Your Goods!\nBody: We can ship 500 kg of your items for $150! But hurry, we need payment now! Contact us before it’s too late!",spam
Subject: Rare Transport Opportunity!\nBody: Ship 300 kg for only $250 from NY to SF! Immediate action needed. Payment is via cryptocurrency only!,spam
"Subject: Don’t Miss Out on This Deal!\nBody: Move your items across the country for $350! This price is only available for today, pay in cash at pickup!",spam
Subject: TIME SENSITIVE: Shipping Offer!\nBody: Your cargo can be shipped for $400 from LA to Chicago! Payment must be processed immediately. Limited time!,spam
"Subject: Act Now: Cheap Freight Available!\nBody: For only $600, we can move 800 kg! Don’t delay, pay now to secure your spot! Limited slots!",spam
Subject: Exclusive Shipping Offer!\nBody: Move 900 kg for a surprising $450! Payment in advance via bank transfer. Don't let this slip away!,spam
"Subject: Amazing Shipping Rates Just for You!\nBody: Transport 700 kg for only $300! Hurry up, this rate is valid for today only! Payment upfront required!",spam
"Subject: Urgent Transport Needed - Act Fast!\nBody: Just $200 to move your goods from Dallas to Miami! Limited time only, pay via PayPal!",spam
Subject: Final Call: Shipping Deal!\nBody: We can ship your cargo for $350 if you book within an hour! Payment upfront required. Don't wait!,spam
"Subject: Best Shipping Rates Available Today!\nBody: Move 600 kg for only $400! Hurry, payment is due immediately! Slots are limited!",spam
Subject: Your Shipping Solution Awaits!\nBody: Transport your goods for a mere $500! Pay via wire transfer. Offer valid for today only!,spam
Subject: Shipping Urgency: Act Now!\nBody: Only $600 to ship your goods! Must pay today to lock in rate. Don't miss this opportunity!,spam
Subject: Exclusive Deal on Freight Shipping!\nBody: Move 1000 kg for just $1500! Payment upfront required. Limited time offer!,spam
Subject: Quick Response Needed for Transport!\nBody: Only $250 to move your cargo! Payment must be made today! Act fast before rates go up!,spam
Subject: Shipping Rate Special Ending Soon!\nBody: Move your load for only $350! Must book in the next hour! Payment method will be clarified later!,spam
Subject: Fast Freight Shipping - Last Chance!\nBody: Only $200 to ship your goods! Pay in cash upon delivery! Respond quickly to secure your spot!,spam
Subject: Secure Your Transport Now!\nBody: Move 500 kg for just $400 today! Payment due upon pickup. Don’t miss this chance!,spam
Subject: Urgent Shipping Request!\nBody: We offer $300 to transport your goods! Immediate payment necessary. Reach out now!,spam
Subject: Shipping Opportunity - Limited Time!\nBody: Ship 200 kg for just $250! Payment upfront required. Offer valid for today only!,spam
"Subject: Incredible Transport Offer!\nBody: Move your cargo for $100! Hurry, only a few spots left! Payment due now!",spam
Subject: Fast Response Needed on Shipping!\nBody: Just $150 to ship from NY to LA! Act now or lose this deal! Payment will be processed later!,spam
Subject: Last Minute Shipping Deal!\nBody: Transport 600 kg for only $350! Must confirm within the hour! Payment upfront required!,spam
